id,program_code,description,feature_type,page_identifier,feature_identifier,parent_id
,D1,Dashboard,page,/site/index,,
,D2,Todays Appointment,button,/site/index,#D2,D1
,D3,Sales Opportunities,button,/site/index,#D3,D1
,D4,Appts Missing Agent Prep,button,/site/index,#D4,D1
,D5,Add New Customer,button,/site/index,#D5,D1
,D6,Future Appointments,button,/site/index,#D6,D1
,D7,Open Action Items,button,/site/index,#D7,D1
,D8,Appts Missing Needs Assesment,button,/site/index,#D8,D1
,D9,Account Setup,button,/site/index,#D9,D1
,GM1,Go To Menu,page,/none/none,#GM1,
,GM2,Dashboard,gotomenu,/none/none,#GM2,GM1
,GM3,Customer List,gotomenu,/none/none,#GM3,GM1
,GM4,Action Items,gotomenu,/none/none,#GM4,GM1
,GM5,Account Setup,gotomenu,/none/none,#GM5,GM1
,AC1,Action Items,page,/account/action_item,,
,AC2,Print,button,/account/action_item,#btn-printgrid,AC1
,AC3,Export,button,/account/action_item,#btn-export,AC1
,AC4,Add Action Item,button,/account/action_item,#btn-addgrid,AC1
,AC5,Delete Action Item,button,/account/action_item,.btn-delete,AC1
,CUS1,Customer Listing,page,/customer/listing,,
,CUS2,Import,button,/customer/listing,#btn-browse-file,CUS1
,CUS3,Add New Customer,button,/customer/listing,#btn-addgrid,CUS1
,CUS4,Agent Prep,button,/customer/listing,.btn-tran-AP,CUS1
,CUS5,Needs Assessment,button,/customer/listing,.btn-tran-NA,CUS1
,CUS6,CIR,button,/customer/listing,.btn-tran-CIR,CUS1
,CUS7,Reports,button,/customer/listing,.btn-report,CUS1
,CUS8,Delete Customer(s),button,/customer/listing,.btn-deletegrid,CUS1
,CUS9,Referral,button,/customer/listing,.btn-referral,CUS1
,A1,Account Setup,page,/account/setup,,
,A2,Your Information,section,/account/setup,#A2,A1
,A3,Update Logo,section,/account/setup,#A3,A1
,A4,Change Password,section,/account/setup,#A4,A1
,A5,Security Group,section,/account/setup,#A5,A1
,A6,Staff List,section,/account/setup,#A6,A1
,A7,Email Settings,section,/account/setup,#A7,A1
,A8,            Test Email,button,/account/setup,#A8,A7
,A9,            Update,button,/account/setup,#A9,A7
,A10,Billing,section,/account/setup,#A10,A1
,A11,Lists,section,/account/setup,#A11,A1
,A12,Color Scheme,section,/account/setup,#A12,A1
,A13,Referral Program,section,/account/setup,#A13,A1
,A14,Build your Referral Program,section,/account/setup,#A14,A1
,A15,Policy Type Setup,section,/account/setup,#A15,A1
,A16,  Resource Upload,button,/account/setup,#A16,A15
,A17,  Add Policy,button,/account/setup,#A17,A15
,A18,Membership,section,/account/setup,#A18,A1
,A19,  Cancel Account,button,/account/setup,#A19,A18
